property_id,num_bedrooms,review_count,city,property_size
1,0,101,Seattle,ENTIRE_HOME_0_BEDROOMS
2,1,61,Seattle,PRIVATE_ROOM
3,2,45,Seattle,ENTIRE_HOME_2_BEDROOMS
4,4,94,Portland,ENTIRE_HOME_4_BEDROOMS
5,3,138,Seattle,ENTIRE_HOME_3_BEDROOMS
6,1,17,Las Vegas,ENTIRE_HOME_1_BEDROOMS
7,1,123,Atlanta,ENTIRE_HOME_1_BEDROOMS
8,1,339,Denver,ENTIRE_HOME_1_BEDROOMS
9,3,39,Denver,ENTIRE_HOME_3_BEDROOMS
10,1,90,Portland,ENTIRE_HOME_1_BEDROOMS
11,1,53,Portland,ENTIRE_HOME_1_BEDROOMS
12,1,260,Portland,ENTIRE_HOME_1_BEDROOMS
13,1,55,Portland,ENTIRE_HOME_1_BEDROOMS
14,1,118,Portland,ENTIRE_HOME_1_BEDROOMS
15,1,63,Portland,ENTIRE_HOME_1_BEDROOMS
16,1,89,Portland,ENTIRE_HOME_1_BEDROOMS
17,1,221,Portland,ENTIRE_HOME_1_BEDROOMS
18,1,137,Seattle,PRIVATE_ROOM
19,1,106,Portland,PRIVATE_ROOM
20,1,27,Seattle,PRIVATE_ROOM
21,1,156,Atlanta,ENTIRE_HOME_1_BEDROOMS
22,1,144,Atlanta,ENTIRE_HOME_1_BEDROOMS
23,1,87,Denver,PRIVATE_ROOM
24,2,61,Atlanta,ENTIRE_HOME_2_BEDROOMS
25,1,3,Atlanta,PRIVATE_ROOM
26,1,5,Atlanta,ENTIRE_HOME_1_BEDROOMS
27,0,15,Seattle,ENTIRE_HOME_0_BEDROOMS
28,1,196,Portland,PRIVATE_ROOM
29,1,72,Portland,PRIVATE_ROOM
30,1,35,Seattle,PRIVATE_ROOM
31,3,103,Portland,ENTIRE_HOME_3_BEDROOMS
32,1,176,Seattle,ENTIRE_HOME_1_BEDROOMS
33,1,5,Portland,PRIVATE_ROOM
34,5,10,Seattle,ENTIRE_HOME_5_BEDROOMS
35,1,118,Atlanta,ENTIRE_HOME_1_BEDROOMS
36,2,11,Atlanta,ENTIRE_HOME_2_BEDROOMS
37,1,41,Portland,PRIVATE_ROOM
38,2,18,Las Vegas,ENTIRE_HOME_2_BEDROOMS
39,1,35,Portland,ENTIRE_HOME_1_BEDROOMS
40,1,26,Atlanta,PRIVATE_ROOM
41,3,7,Seattle,ENTIRE_HOME_3_BEDROOMS
42,2,4,Seattle,ENTIRE_HOME_2_BEDROOMS
43,3,7,Seattle,ENTIRE_HOME_3_BEDROOMS
44,1,30,Portland,PRIVATE_ROOM
45,1,84,Seattle,PRIVATE_ROOM
46,2,16,Seattle,ENTIRE_HOME_2_BEDROOMS
47,2,9,Denver,ENTIRE_HOME_2_BEDROOMS
48,1,12,Seattle,ENTIRE_HOME_1_BEDROOMS
49,1,7,Atlanta,SHARED_ROOM
50,1,8,Atlanta,ENTIRE_HOME_1_BEDROOMS
51,1,35,Seattle,ENTIRE_HOME_1_BEDROOMS
52,1,118,Seattle,ENTIRE_HOME_1_BEDROOMS
53,2,25,Seattle,ENTIRE_HOME_2_BEDROOMS
54,1,166,Atlanta,PRIVATE_ROOM
55,1,3,Atlanta,ENTIRE_HOME_1_BEDROOMS
56,3,144,Denver,ENTIRE_HOME_3_BEDROOMS
57,3,6,Atlanta,ENTIRE_HOME_3_BEDROOMS
58,1,120,Portland,PRIVATE_ROOM
59,0,23,Portland,PRIVATE_ROOM
60,1,89,Seattle,PRIVATE_ROOM
61,1,13,Seattle,ENTIRE_HOME_1_BEDROOMS
